titolo;ente;categoria;cpv;cig;regione;pubblicazione;scadenza;importo;fonte;url;punteggio;rilevato_il
Bandi Di Gara;SORESA SIAPS;Pulizie;33190000;;Campania;;;04;SORESA SIAPS;https://siaps.soresa.it/portalegare/index.php/bandi;83;04/08/2026 07:47
Fornitura di energia elettrica e dei servizi connessi per le pubbliche amministrazioni - ID 2994;Consip S.p.A.;Multiservizi;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/energia-elettrica;40;21/08/2026 05:46
Gara a procedura aperta per la Fornitura Multibrand di prodotti software, manutenzione software e servizi connessi per le Pubbliche Amministrazioni (ed.7);Consip S.p.A.;Multiservizi;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/gara-licenze-software-multibrand-ed7;40;04/08/2026 14:38
Gara a procedura aperta per l’affidamento di un appalto avente ad oggetto i servizi di gestione innovativa delle apparecchiature sanitarie per Asl Salerno - ID 2947.;Consip S.p.A.;Multiservizi;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/servizi-di-gestione-innovativa-delle-apparecchiature-sanitarie-id-2947;40;05/08/2026 07:48
Procedura aperta per l’affidamento di un Accordo Quadro avente ad oggetto la fornitura di carburante da autotrazione mediante Fuel Card per le Pubbliche Amministrazioni – ID 2963;Consip S.p.A.;Multiservizi;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/aq-carburanti-rete-fuel-card-id-2963;40;07/08/2026 06:16
Procedura aperta per l’affidamento di un Accordo Quadro avente ad oggetto la fornitura di servizi professionali per la gestione e conduzione di infrastrutture di cybersecurity delle PA;Consip S.p.A.;Multiservizi;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/sicurezza-on-premises-servizi-per-la-gestione-e-conduzione-operativa-di-infrastrutture-di-cybersecurity-delle-pa;40;19/08/2026 05:44
Procedura negoziata ex art. 76 del d.lgs. 36/2023 per l’acquisizione della piattaforma MESA e servizi per SOGEI – ID 2987;Consip S.p.A.;Multiservizi;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/procedura-negoziata-per-lacquisizione-della-piattaforma-mesa-e-servizi-per-sogei;40;06/08/2026 07:48
Procedura negoziata per l’acquisizione dei servizi di manutenzione e supporto per il controllo accessi alle sedi e ai parcheggi di Sogei e di ADM - ID 2985.;Consip S.p.A.;Portierato;;;Italia;;;;Consip - Ricerca gare;https://www.consip.it/bandi/acquisizione-dei-servizi-di-manutenzione-e-supporto-per-il-controllo-accessi-alle-sedi-e-ai-parcheggi-di-sogei-e-di-adm-id-2985;40;31/07/2026 08:08
AFFIDAMENTO IN CONCESSIONE DEL SERVIZIO DI GESTIONE, CUSTODIA E CONDUZIONE DELL'IPPODROMO DEI PINI;START Toscana;Portierato;;;Toscana;;;;START Toscana;https://start.toscana.it/sourcing/tenders/resume/id/903714;35;20/08/2026 05:43
Avvio di indagine esplorativa mediante manifestazione di interesse propedeutica all’affidamento diretto ai sensi dell’art. 50, comma 1, lett. b), del D.Lgs. n. 36 2023 servizio di custodia, conduzione e manutenzione dello Stadio dei Fioridi;START Toscana;Portierato;;;Toscana;;;;START Toscana;https://start.toscana.it/sourcing/expressions-of-interest/903762/resume/;35;19/08/2026 05:44
GARA EUROPEA GESTIONE DEI SERVIZI DI ACCOGLIENZA, BIGLIETTERIA E SORVEGLIANZA PRESSO IL MUSEO CIVICO D’ARTE ANTICA, IL MUSEO DELLO SPEDALE DEL CEPPO E IL MUSEO DEL NOVECENTO E DEL CONTEMPORANEO DI PALAZZO FABRONI NEL PERIODO 01.10.2026 – 30.09.2029;START Toscana;Portierato;;;Toscana;;;;START Toscana;https://start.toscana.it/sourcing/tenders/resume/id/902595;35;07/08/2026 06:16
I nostri Bandi di gara;SINTEL Lombardia;Multiservizi;;;Lombardia;;;;SINTEL Lombardia;https://www.ariaspa.it/wps/portal/Aria/Home/bandi-convenzioni/bandi-di-gara/i-nostri-bandi-di-gara;35;04/08/2026 14:38
Procedura aperta per l’affidamento del servizio di custodia, ordinaria manutenzione ed esecuzione delle attività cimiteriali per tutte le sedi poste nel territorio comunale, per il periodo 1.11.2026 - 31.10.2029;START Toscana;Portierato;;;Toscana;;;;START Toscana;https://start.toscana.it/sourcing/tenders/resume/id/902704;35;12/08/2026 06:40
“Accoglienza Ufficio Istituzionale ed orientamento delle funzioni turistico culturali e di valorizzazione territoriale”, codice opera 240461;START Toscana;Portierato;;;Toscana;;;;START Toscana;https://start.toscana.it/sourcing/expressions-of-interest/903032/resume/;35;07/08/2026 06:16
I nostri Bandi di gara;SINTEL Lombardia;Facchinaggio;;9853648F8D;Lombardia;;;;SINTEL Lombardia;https://www.ariaspa.it/wps/portal/Aria/Home/bandi-convenzioni/bandi-di-gara/i-nostri-bandi-di-gara;25;05/08/2026 14:32
